Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
[pair_F] {"steps": 167936, "elapsed_s": 188.1, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.55, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 169984, "elapsed_s": 190.3, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.55, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 172032, "elapsed_s": 192.6, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.5, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 174080, "elapsed_s": 194.8, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.5, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 176128, "elapsed_s": 197.4, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.5, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 178176, "elapsed_s": 199.7, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.5, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 180224, "elapsed_s": 202.4, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.55, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 182272, "elapsed_s": 204.8, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.6, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 184320, "elapsed_s": 207.3, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.55, "asymmetric_advantages_sparse20": 5.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 186368, "elapsed_s": 209.4, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.5, "asymmetric_advantages_sparse20": 5.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 188416, "elapsed_s": 211.7, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.45, "asymmetric_advantages_sparse20": 5.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 190464, "elapsed_s": 214.2, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.45, "asymmetric_advantages_sparse20": 5.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 192512, "elapsed_s": 216.3, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.45, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 194560, "elapsed_s": 218.2, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.4, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 196608, "elapsed_s": 220.0, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.35, "asymmetric_advantages_sparse20": 5.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 198656, "elapsed_s": 222.0, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.4, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 200704, "elapsed_s": 224.2, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.4, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 202752, "elapsed_s": 226.7, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.45, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 204800, "elapsed_s": 228.7, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.5, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 206848, "elapsed_s": 230.6, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.45, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 208896, "elapsed_s": 232.6, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.5, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 210944, "elapsed_s": 234.9, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.4, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 212992, "elapsed_s": 236.7, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.35, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 215040, "elapsed_s": 238.6, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.3, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 217088, "elapsed_s": 240.4, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.2, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 219136, "elapsed_s": 243.0, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.2, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 221184, "elapsed_s": 245.3, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.2, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 223232, "elapsed_s": 247.4, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.25, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
