regime,t,utility,guidance,stability,nondecomposable,rep_x,rep_y,p_selfish,p_direct_team,p_trigger_success,p_noise,collapse_kl,collapse_burst,representation_jump
ordinary_gradual,39.0,0.7,0.75,0.85,0.25,0.03031645569620252,0.5379493670886076,0.13645569620253165,0.5708860759493671,0.14632911392405065,0.14632911392405065,0.33474844478393756,0.016253105905699006,0.008303922891921042
ordinary_gradual,40.0,0.7,0.75,0.85,0.25,0.02468354430379746,0.5440506329113923,0.13354430379746834,0.5791139240506329,0.14367088607594936,0.14367088607594936,0.3514016005425772,0.016653155758639626,0.008303922891920858
ordinary_gradual,41.0,0.7,0.75,0.85,0.25,0.019050632911392418,0.5501518987341772,0.13063291139240507,0.5873417721518988,0.14101265822784811,0.14101265822784811,0.3684569078582591,0.01705530731568189,0.008303922891921013
ordinary_gradual,42.0,0.7,0.75,0.85,0.25,0.013417721518987388,0.5562531645569619,0.1277215189873418,0.5955696202531645,0.13835443037974685,0.13835443037974685,0.3859167209025906,0.01745981304433153,0.008303922891920841
ordinary_gradual,43.0,0.7,0.75,0.85,0.25,0.0077848101265822894,0.5623544303797468,0.12481012658227848,0.6037974683544304,0.13569620253164558,0.13569620253164558,0.40378365505691843,0.01786693415432783,0.00830392289192097
ordinary_gradual,44.0,0.7,0.75,0.85,0.25,0.0021518987341772183,0.5684556962025317,0.1218987341772152,0.6120253164556962,0.1330379746835443,0.1330379746835443,0.42206059680420743,0.018276941747289,0.008303922891921032
ordinary_gradual,45.0,0.7,0.75,0.85,0.25,-0.0034810126582278667,0.5745569620253165,0.1189873417721519,0.6202531645569621,0.13037974683544304,0.13037974683544304,0.44075071487059914,0.018690118066391703,0.00830392289192096
ordinary_gradual,46.0,0.7,0.75,0.85,0.25,-0.00911392405063291,0.5806582278481013,0.11607594936708861,0.6284810126582279,0.12772151898734177,0.12772151898734177,0.45985747273265665,0.01910675786205751,0.008303922891920931
ordinary_gradual,47.0,0.7,0.75,0.85,0.25,-0.01474683544303794,0.586759493670886,0.11316455696202533,0.6367088607594936,0.12506329113924053,0.12506329113924053,0.4793846426246843,0.01952716989202763,0.008303922891920841
ordinary_gradual,48.0,0.7,0.75,0.85,0.25,-0.020379746835443052,0.5928607594936709,0.11025316455696202,0.6449367088607595,0.12240506329113923,0.12240506329113923,0.49933632120181226,0.019951678577127985,0.00830392289192106
ordinary_gradual,49.0,0.7,0.75,0.85,0.25,-0.026012658227848068,0.5989620253164556,0.10734177215189875,0.6531645569620252,0.11974683544303798,0.11974683544303798,0.5197169470393761,0.020380625837563837,0.00830392289192083
ordinary_gradual,50.0,0.7,0.75,0.85,0.25,-0.03164556962025318,0.6050632911392406,0.10443037974683544,0.6613924050632912,0.11708860759493671,0.11708860759493671,0.5405313201782005,0.020814373138824394,0.008303922891921141
ordinary_gradual,51.0,0.7,0.75,0.85,0.25,-0.037278481012658224,0.6111645569620253,0.10151898734177216,0.669620253164557,0.11443037974683544,0.11443037974683544,0.5617846239596723,0.021253303781471833,0.00830392289192085
ordinary_gradual,52.0,0.7,0.75,0.85,0.25,-0.04291139240506327,0.6172658227848101,0.09860759493670887,0.6778481012658227,0.11177215189873418,0.11177215189873418,0.5834824494350934,0.021697825475421095,0.008303922891920931
ordinary_gradual,53.0,0.7,0.75,0.85,0.25,-0.04854430379746835,0.6233670886075949,0.09569620253164557,0.6860759493670886,0.10911392405063292,0.10911392405063292,0.605630822682125,0.02214837324703156,0.00830392289192096
ordinary_gradual,54.0,0.7,0.75,0.85,0.25,-0.05417721518987341,0.6294683544303797,0.0927848101265823,0.6943037974683545,0.10645569620253166,0.10645569620253166,0.6282362354190503,0.02260541273692529,0.00830392289192094
ordinary_gradual,55.0,0.7,0.75,0.85,0.25,-0.05981012658227848,0.6355696202531645,0.08987341772151898,0.7025316455696202,0.10379746835443038,0.10379746835443038,0.6513056793772981,0.023069443958247837,0.00830392289192095
ordinary_gradual,56.0,0.7,0.75,0.85,0.25,-0.06544303797468355,0.6416708860759494,0.0869620253164557,0.7107594936708861,0.10113924050632911,0.10113924050632911,0.6748466849771417,0.023541005599843623,0.00830392289192095
ordinary_gradual,57.0,0.7,0.75,0.85,0.25,-0.07107594936708861,0.6477721518987343,0.08405063291139242,0.718987341772152,0.09848101265822785,0.09848101265822785,0.6988673649544619,0.02402067997732016,0.008303922891921023
ordinary_gradual,58.0,0.7,0.75,0.85,0.25,-0.07670886075949371,0.6538734177215191,0.0811392405063291,0.7272151898734178,0.09582278481012657,0.09582278481012657,0.7233764637128345,0.024509098758372594,0.00830392289192097
ordinary_gradual,59.0,0.7,0.75,0.85,0.25,-0.08234177215189874,0.6599746835443039,0.07822784810126583,0.7354430379746836,0.09316455696202532,0.09316455696202532,0.7483834133313008,0.02500694961846628,0.008303922891920923
ordinary_gradual,60.0,0.7,0.75,0.85,0.25,-0.08797468354430384,0.6660759493670887,0.07531645569620252,0.7436708860759494,0.09050632911392403,0.09050632911392403,0.7738983973524909,0.025514984021190124,0.00830392289192097
ordinary_gradual,61.0,0.7,0.75,0.85,0.25,-0.09360759493670885,0.6721772151898735,0.07240506329113924,0.7518987341772152,0.08784810126582279,0.08784810126582279,0.7999324237194823,0.02603402636699137,0.008303922891920912
ordinary_gradual,62.0,0.7,0.75,0.85,0.25,-0.09924050632911394,0.6782784810126583,0.06949367088607596,0.7601265822784811,0.08518987341772152,0.08518987341772152,0.8264974085380822,0.026564984818599924,0.00830392289192096
ordinary_gradual,63.0,0.7,0.75,0.85,0.25,-0.10487341772151901,0.684379746835443,0.06658227848101266,0.7683544303797469,0.08253164556962025,0.08253164556962025,0.8536062727346736,0.02710886419659142,0.008303922891920869
ordinary_gradual,64.0,0.7,0.75,0.85,0.25,-0.11050632911392405,0.6904810126582278,0.06367088607594937,0.7765822784810127,0.07987341772151899,0.07987341772151899,0.8812730541869126,0.027666781452238998,0.008303922891920931
ordinary_gradual,65.0,0.7,0.75,0.85,0.25,-0.11613924050632915,0.6965822784810126,0.06075949367088607,0.7848101265822786,0.07721518987341772,0.07721518987341772,0.9095130385650478,0.02823998437813524,0.00830392289192097
ordinary_gradual,66.0,0.7,0.75,0.85,0.25,-0.12177215189873418,0.7026835443037974,0.05784810126582278,0.7930379746835443,0.07455696202531645,0.07455696202531645,0.938342912991793,0.028829874426745117,0.008303922891920923
ordinary_gradual,67.0,0.7,0.75,0.85,0.25,-0.1274050632911392,0.7087848101265821,0.054936708860759506,0.8012658227848101,0.0718987341772152,0.0718987341772152,0.9677809477895174,0.029438034797724444,0.008303922891920841
ordinary_gradual,68.0,0.7,0.75,0.85,0.25,-0.13303797468354434,0.714886075949367,0.05202531645569619,0.8094936708860759,0.06924050632911391,0.06924050632911391,0.9978472131533599,0.030066265363842493,0.00830392289192107
ordinary_gradual,69.0,0.7,0.75,0.85,0.25,-0.13867088607594935,0.7209873417721517,0.04911392405063292,0.8177215189873417,0.06658227848101267,0.06658227848101267,1.0285638397442765,0.030716626590916563,0.00830392289192083
ordinary_gradual,70.0,0.7,0.75,0.85,0.25,-0.14430379746835442,0.7270886075949367,0.04620253164556963,0.8259493670886076,0.0639240506329114,0.0639240506329114,1.0599553352050353,0.03139149546075881,0.008303922891921032
ordinary_gradual,71.0,0.7,0.75,0.85,0.25,-0.1499367088607595,0.7331898734177215,0.04329113924050633,0.8341772151898734,0.061265822784810124,0.061265822784810124,1.092048972881535,0.03209363767649975,0.00830392289192095
ordinary_gradual,72.0,0.7,0.75,0.85,0.25,-0.15556962025316456,0.7392911392405064,0.04037974683544304,0.8424050632911393,0.05860759493670887,0.05860759493670887,1.1248752752455156,0.03282630236398054,0.008303922891921032
ordinary_gradual,73.0,0.7,0.75,0.85,0.25,-0.16120253164556966,0.7453924050632912,0.03746835443037974,0.8506329113924052,0.055949367088607586,0.055949367088607586,1.1584686237500132,0.03359334850449769,0.00830392289192097
ordinary_gradual,74.0,0.7,0.75,0.85,0.25,-0.1668354430379747,0.751493670886076,0.034556962025316454,0.8588607594936709,0.05329113924050633,0.05329113924050633,1.1928680409431984,0.03439941719318518,0.008303922891920931
ordinary_gradual,75.0,0.7,0.75,0.85,0.25,-0.17246835443037972,0.7575949367088607,0.03164556962025318,0.8670886075949367,0.050632911392405076,0.050632911392405076,1.2281182128357389,0.03525017189254043,0.00830392289192083
ordinary_gradual,76.0,0.7,0.75,0.85,0.25,-0.17810126582278482,0.7636962025316456,0.02873417721518987,0.8753164556962025,0.047974683544303794,0.047974683544303794,1.2642708556241855,0.036152642788446654,0.008303922891921051
