Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
[cramped_room s8801] steps 354304 sparse20 41.0 potter0 0.4 (205.7s)
[cramped_room s8801] steps 356352 sparse20 40.0 potter0 0.45 (206.8s)
[cramped_room s8801] steps 358400 sparse20 42.0 potter0 0.4 (208.0s)
[cramped_room s8801] steps 360448 sparse20 41.0 potter0 0.3 (209.1s)
[cramped_room s8801] steps 362496 sparse20 44.0 potter0 0.3 (210.3s)
[cramped_room s8801] steps 364544 sparse20 45.0 potter0 0.3 (211.4s)
[cramped_room s8801] steps 366592 sparse20 46.0 potter0 0.3 (212.6s)
[cramped_room s8801] steps 368640 sparse20 45.0 potter0 0.4 (213.7s)
[cramped_room s8801] steps 370688 sparse20 40.0 potter0 0.35 (215.2s)
[cramped_room s8801] steps 372736 sparse20 37.0 potter0 0.35 (216.7s)
[cramped_room s8801] steps 374784 sparse20 31.0 potter0 0.4 (217.9s)
[cramped_room s8801] steps 376832 sparse20 30.0 potter0 0.4 (219.2s)
[cramped_room s8801] steps 378880 sparse20 34.0 potter0 0.5 (220.4s)
[cramped_room s8801] steps 380928 sparse20 34.0 potter0 0.5 (221.6s)
[cramped_room s8801] steps 382976 sparse20 43.0 potter0 0.45 (222.8s)
[cramped_room s8801] steps 385024 sparse20 47.0 potter0 0.4 (224.0s)
[cramped_room s8801] steps 387072 sparse20 45.0 potter0 0.35 (225.2s)
[cramped_room s8801] steps 389120 sparse20 54.0 potter0 0.3 (226.4s)
[cramped_room s8801] steps 391168 sparse20 49.0 potter0 0.45 (227.6s)
[cramped_room s8801] steps 393216 sparse20 52.0 potter0 0.4 (228.8s)
[cramped_room s8801] steps 395264 sparse20 54.0 potter0 0.45 (230.0s)
[cramped_room s8801] steps 397312 sparse20 53.0 potter0 0.4 (231.2s)
[cramped_room s8801] steps 399360 sparse20 58.0 potter0 0.3 (232.4s)
[cramped_room s8801] steps 401408 sparse20 58.0 potter0 0.35 (233.5s)
[cramped_room s8801] steps 403456 sparse20 57.0 potter0 0.35 (234.7s)
[cramped_room s8801] steps 405504 sparse20 51.0 potter0 0.4 (235.8s)
[cramped_room s8801] steps 407552 sparse20 49.0 potter0 0.35 (236.9s)
[cramped_room s8801] steps 409600 sparse20 51.0 potter0 0.4 (238.0s)
[cramped_room s8801] steps 411648 sparse20 53.0 potter0 0.45 (239.2s)
[cramped_room s8801] steps 413696 sparse20 53.0 potter0 0.4 (240.3s)
[cramped_room s8801] steps 415744 sparse20 56.0 potter0 0.45 (241.4s)
[cramped_room s8801] steps 417792 sparse20 54.0 potter0 0.5 (242.6s)
[cramped_room s8801] steps 419840 sparse20 54.0 potter0 0.45 (243.7s)
[cramped_room s8801] steps 421888 sparse20 56.0 potter0 0.45 (244.8s)
[cramped_room s8801] steps 423936 sparse20 56.0 potter0 0.4 (246.0s)
[cramped_room s8801] steps 425984 sparse20 54.0 potter0 0.3 (247.1s)
[cramped_room s8801] steps 428032 sparse20 58.0 potter0 0.4 (248.2s)
[cramped_room s8801] steps 430080 sparse20 53.0 potter0 0.45 (249.4s)
[cramped_room s8801] steps 432128 sparse20 50.0 potter0 0.35 (250.6s)
[cramped_room s8801] steps 434176 sparse20 47.0 potter0 0.4 (251.7s)
[cramped_room s8801] steps 436224 sparse20 48.0 potter0 0.4 (252.8s)
[cramped_room s8801] steps 438272 sparse20 54.0 potter0 0.35 (254.0s)
[cramped_room s8801] steps 440320 sparse20 52.0 potter0 0.4 (255.1s)
[cramped_room s8801] steps 442368 sparse20 53.0 potter0 0.4 (256.3s)
[cramped_room s8801] steps 444416 sparse20 49.0 potter0 0.4 (257.4s)
[cramped_room s8801] steps 446464 sparse20 50.0 potter0 0.4 (258.7s)
[cramped_room s8801] steps 448512 sparse20 56.0 potter0 0.45 (259.9s)
[cramped_room s8801] steps 450560 sparse20 55.0 potter0 0.4 (261.2s)
[cramped_room s8801] steps 452608 sparse20 58.0 potter0 0.45 (262.6s)
[cramped_room s8801] steps 454656 sparse20 54.0 potter0 0.45 (263.8s)
[cramped_room s8801] steps 456704 sparse20 53.0 potter0 0.55 (265.0s)
[cramped_room s8801] steps 458752 sparse20 53.0 potter0 0.55 (266.1s)
[cramped_room s8801] steps 460800 sparse20 51.0 potter0 0.5 (267.3s)
[cramped_room s8801] steps 462848 sparse20 48.0 potter0 0.45 (268.4s)
[cramped_room s8801] steps 464896 sparse20 56.0 potter0 0.5 (269.6s)
[cramped_room s8801] steps 466944 sparse20 56.0 potter0 0.5 (270.7s)
[cramped_room s8801] steps 468992 sparse20 55.0 potter0 0.45 (271.9s)
[cramped_room s8801] steps 471040 sparse20 61.0 potter0 0.4 (273.0s)
[cramped_room s8801] steps 473088 sparse20 53.0 potter0 0.25 (274.5s)
[cramped_room s8801] steps 475136 sparse20 55.0 potter0 0.3 (276.0s)
[cramped_room s8801] steps 477184 sparse20 63.0 potter0 0.45 (277.3s)
[cramped_room s8801] steps 479232 sparse20 60.0 potter0 0.5 (278.4s)
[cramped_room s8801] steps 481280 sparse20 61.0 potter0 0.45 (279.5s)
[cramped_room s8801] steps 483328 sparse20 65.0 potter0 0.45 (280.7s)
[cramped_room s8801] steps 485376 sparse20 61.0 potter0 0.4 (282.0s)
[cramped_room s8801] steps 487424 sparse20 62.0 potter0 0.4 (283.2s)
[cramped_room s8801] steps 489472 sparse20 69.0 potter0 0.45 (284.4s)
[cramped_room s8801] steps 491520 sparse20 71.0 potter0 0.35 (285.7s)
[cramped_room s8801] steps 493568 sparse20 73.0 potter0 0.25 (286.8s)
[cramped_room s8801] steps 495616 sparse20 74.0 potter0 0.2 (288.0s)
[cramped_room s8801] steps 497664 sparse20 68.0 potter0 0.25 (289.2s)
[cramped_room s8801] steps 499712 sparse20 60.0 potter0 0.25 (290.4s)
[cramped_room s8801] steps 501760 sparse20 58.0 potter0 0.35 (291.7s)
[cramped_room s8801] steps 503808 sparse20 53.0 potter0 0.3 (292.8s)
[cramped_room s8801] steps 505856 sparse20 61.0 potter0 0.35 (294.0s)
[cramped_room s8801] steps 507904 sparse20 67.0 potter0 0.6 (295.2s)
[cramped_room s8801] steps 509952 sparse20 71.0 potter0 0.55 (296.4s)
[cramped_room s8801] steps 512000 sparse20 68.0 potter0 0.65 (297.6s)
[cramped_room s8801] steps 514048 sparse20 62.0 potter0 0.65 (298.8s)
[cramped_room s8801] steps 516096 sparse20 57.0 potter0 0.65 (300.0s)
